
########## harmonic sweep :: nvm_100Mb ##########
   n       R  feas  bind    BW/SA   cap[bit]      N_SA  L_dsn  fits     BW_raw  pdens/Pmax  BW_thermal
------------------------------------------------------------------------------------------------------
   1  461.67     y    SA  0.00361    6.2e+07   6.2e+07   1.00     y   2.80e+13    9.68e+00    2.89e+12
   2  456.34     y    SA  0.00542    9.3e+07   6.2e+07   2.00     y   4.20e+13    1.45e+01    2.89e+12
   3  451.14     y    SA  0.00722   1.24e+08   6.2e+07   3.00     y   5.60e+13    1.94e+01    2.89e+12
   4  451.14     y    SA  0.00903   1.55e+08   6.2e+07   3.01     y   7.00e+13    2.42e+01    2.89e+12
   5  446.05     y    SA   0.0108   1.86e+08   6.2e+07   4.01     y   8.40e+13    2.91e+01    2.89e+12
   6  446.05     y    SA   0.0126   2.17e+08   6.2e+07   4.01     y   9.79e+13    3.39e+01    2.89e+12
   7  446.05     y    SA   0.0144   2.48e+08   6.2e+07   4.01     y   1.12e+14    3.87e+01    2.89e+12
   8  446.05     y    SA   0.0162   2.79e+08   6.2e+07   4.01     y   1.26e+14    4.36e+01    2.89e+12
   9  441.08     y    SA   0.0181    3.1e+08   6.2e+07   5.01     y   1.40e+14    4.84e+01    2.89e+12
  10  441.08     y    SA   0.0199   3.41e+08   6.2e+07   5.01     y   1.54e+14    5.33e+01    2.89e+12
  11  441.08     y    SA   0.0217   3.72e+08   6.2e+07   5.01     y   1.68e+14    5.81e+01    2.89e+12
  12  441.08     y    SA   0.0235   4.03e+08   6.2e+07   5.02     y   1.82e+14    6.29e+01    2.89e+12
  13  441.08     y    SA   0.0253   4.34e+08   6.2e+07   5.02     y   1.96e+14    6.78e+01    2.89e+12
  14  441.08     y    SA   0.0271   4.65e+08   6.2e+07   5.02     y   2.10e+14    7.26e+01    2.89e+12
  15  441.08     y    SA   0.0289   4.96e+08   6.2e+07   5.02     y   2.24e+14    7.75e+01    2.89e+12
  16  441.08     y    SA   0.0307   5.27e+08   6.2e+07   5.02     y   2.38e+14    8.23e+01    2.89e+12
  17  436.22     y    SA   0.0325   5.58e+08   6.2e+07   6.02     y   2.52e+14    8.72e+01    2.89e+12
  18  436.22     y    SA   0.0343   5.89e+08   6.2e+07   6.02     y   2.66e+14    9.20e+01    2.89e+12
  19  436.22     y    SA   0.0361    6.2e+08   6.2e+07   6.02     y   2.80e+14    9.68e+01    2.89e+12
  20  436.22     y    SA   0.0379   6.51e+08   6.2e+07   6.02     y   2.94e+14    1.02e+02    2.89e+12
  21  436.22     y    SA   0.0397   6.82e+08   6.2e+07   6.03     y   3.08e+14    1.07e+02    2.89e+12
  22  436.22     y    SA   0.0415   7.13e+08   6.2e+07   6.03     y   3.22e+14    1.11e+02    2.89e+12
  23  436.22     y    SA   0.0433   7.44e+08   6.2e+07   6.03     y   3.36e+14    1.16e+02    2.89e+12
  24  436.22     y    SA   0.0451   7.75e+08   6.2e+07   6.03     y   3.50e+14    1.21e+02    2.89e+12
  25  436.22     y    SA   0.0469   8.06e+08   6.2e+07   6.03     y   3.64e+14    1.26e+02    2.89e+12
  26  436.22     y    SA   0.0487   8.37e+08   6.2e+07   6.03     y   3.78e+14    1.31e+02    2.89e+12
  27  436.22     y    SA   0.0505   8.68e+08   6.2e+07   6.03     y   3.92e+14    1.36e+02    2.89e+12
  28  436.22     y    SA   0.0523   8.99e+08   6.2e+07   6.03     y   4.06e+14    1.40e+02    2.89e+12
  29  436.22     y    SA   0.0542    9.3e+08   6.2e+07   6.03     y   4.20e+14    1.45e+02    2.89e+12
  30  436.22     y    SA    0.056   9.61e+08   6.2e+07   6.04     y   4.34e+14    1.50e+02    2.89e+12
  31  436.22     y    SA   0.0578   9.92e+08   6.2e+07   6.04     y   4.48e+14    1.55e+02    2.89e+12
  32  436.22     y    SA   0.0596   1.02e+09   6.2e+07   6.04     y   4.62e+14    1.60e+02    2.89e+12
  33  431.46     y    SA   0.0614   1.05e+09   6.2e+07   7.04     y   4.76e+14    1.65e+02    2.89e+12
  34  431.46     y    SA   0.0632   1.09e+09   6.2e+07   7.04     y   4.90e+14    1.69e+02    2.89e+12
  35  431.46     y    SA    0.065   1.12e+09   6.2e+07   7.04     y   5.04e+14    1.74e+02    2.89e+12
  36  431.46     y    SA   0.0668   1.15e+09   6.2e+07   7.04     y   5.18e+14    1.79e+02    2.89e+12
  37  431.46     y    SA   0.0686   1.18e+09   6.2e+07   7.04     y   5.32e+14    1.84e+02    2.89e+12
  38  431.46     y    SA   0.0704   1.21e+09   6.2e+07   7.05     y   5.46e+14    1.89e+02    2.89e+12
  39  431.46     y    SA   0.0722   1.24e+09   6.2e+07   7.05     y   5.60e+14    1.94e+02    2.89e+12
  40  431.46     y    SA    0.074   1.27e+09   6.2e+07   7.05     y   5.74e+14    1.99e+02    2.89e+12
  41  431.46     y    SA   0.0758    1.3e+09   6.2e+07   7.05     y   5.88e+14    2.03e+02    2.89e+12
  42  431.46     y    SA   0.0776   1.33e+09   6.2e+07   7.05     y   6.02e+14    2.08e+02    2.89e+12
  43  431.46     y    SA   0.0794   1.36e+09   6.2e+07   7.05     y   6.16e+14    2.13e+02    2.89e+12
  44  431.46     y    SA   0.0812    1.4e+09   6.2e+07   7.05     y   6.30e+14    2.18e+02    2.89e+12
  45  431.46     y    SA    0.083   1.43e+09   6.2e+07   7.05     y   6.44e+14    2.23e+02    2.89e+12
  46  431.46     y    SA   0.0848   1.46e+09   6.2e+07   7.05     y   6.58e+14    2.28e+02    2.89e+12
  47  431.46     y    SA   0.0866   1.49e+09   6.2e+07   7.06     y   6.72e+14    2.32e+02    2.89e+12
  48  431.46     y    SA   0.0884   1.52e+09   6.2e+07   7.06     y   6.86e+14    2.37e+02    2.89e+12
  49  431.46     y    SA   0.0903   1.55e+09   6.2e+07   7.06     y   7.00e+14    2.42e+02    2.89e+12
  50  431.46     y    SA   0.0921   1.58e+09   6.2e+07   7.06     y   7.14e+14    2.47e+02    2.89e+12
  51  431.46     y    SA   0.0939   1.61e+09   6.2e+07   7.06     y   7.28e+14    2.52e+02    2.89e+12
  52  431.46     y    SA   0.0957   1.64e+09   6.2e+07   7.06     y   7.42e+14    2.57e+02    2.89e+12
  53  431.46     y    SA   0.0975   1.67e+09   6.2e+07   7.06     y   7.56e+14    2.61e+02    2.89e+12
  54  431.46     y    SA   0.0993   1.71e+09   6.2e+07   7.06     y   7.70e+14    2.66e+02    2.89e+12
  55  431.46     y    SA    0.101   1.74e+09   6.2e+07   7.07     y   7.84e+14    2.71e+02    2.89e+12
  56  431.46     y    SA    0.103   1.77e+09   6.2e+07   7.07     y   7.98e+14    2.76e+02    2.89e+12
  57  431.46     y    SA    0.105    1.8e+09   6.2e+07   7.07     y   8.12e+14    2.81e+02    2.89e+12
  58  431.46     y    SA    0.106   1.83e+09   6.2e+07   7.07     y   8.26e+14    2.86e+02    2.89e+12
  59  431.46     y    SA    0.108   1.86e+09   6.2e+07   7.07     y   8.40e+14    2.91e+02    2.89e+12
  60  431.46     y    SA     0.11   1.89e+09   6.2e+07   7.07     y   8.54e+14    2.95e+02    2.89e+12
  61  431.46     y    SA    0.112   1.92e+09   6.2e+07   7.07     y   8.68e+14    3.00e+02    2.89e+12
  62  431.46     y    SA    0.114   1.95e+09   6.2e+07   7.07     y   8.82e+14    3.05e+02    2.89e+12
  63  431.46     y    SA    0.116   1.98e+09   6.2e+07   7.07     y   8.96e+14    3.10e+02    2.89e+12
  64  431.46     y    SA    0.117   2.02e+09   6.2e+07   7.08     y   9.10e+14    3.15e+02    2.89e+12
  65  426.81     y    SA    0.119   2.05e+09   6.2e+07   8.08     y   9.24e+14    3.20e+02    2.89e+12
  66  426.81     y    SA    0.121   2.08e+09   6.2e+07   8.08     y   9.38e+14    3.24e+02    2.89e+12
  67  426.81     y    SA    0.123   2.11e+09   6.2e+07   8.08     y   9.52e+14    3.29e+02    2.89e+12
  68  426.81     y    SA    0.125   2.14e+09   6.2e+07   8.08     y   9.65e+14    3.34e+02    2.89e+12
  69  426.81     y    SA    0.126   2.17e+09   6.2e+07   8.08     y   9.79e+14    3.39e+02    2.89e+12
  70  426.81     y    SA    0.128    2.2e+09   6.2e+07   8.08     y   9.93e+14    3.44e+02    2.89e+12
  71  426.81     y    SA     0.13   2.23e+09   6.2e+07   8.08     y   1.01e+15    3.49e+02    2.89e+12
  72  426.81     y    SA    0.132   2.26e+09   6.2e+07   8.08     y   1.02e+15    3.53e+02    2.89e+12
  73  426.81     y    SA    0.134   2.29e+09   6.2e+07   8.09     y   1.04e+15    3.58e+02    2.89e+12
  74  426.81     y    SA    0.135   2.33e+09   6.2e+07   8.09     y   1.05e+15    3.63e+02    2.89e+12
  75  426.81     y    SA    0.137   2.36e+09   6.2e+07   8.09     y   1.06e+15    3.68e+02    2.89e+12
  76  426.81     y    SA    0.139   2.39e+09   6.2e+07   8.09     y   1.08e+15    3.73e+02    2.89e+12
  77  426.81     y    SA    0.141   2.42e+09   6.2e+07   8.09     y   1.09e+15    3.78e+02    2.89e+12
  78  426.81     y    SA    0.143   2.45e+09   6.2e+07   8.09     y   1.11e+15    3.83e+02    2.89e+12
  79  426.81     y    SA    0.144   2.48e+09   6.2e+07   8.09     y   1.12e+15    3.87e+02    2.89e+12
  80  426.81     y    SA    0.146   2.51e+09   6.2e+07   8.09     y   1.13e+15    3.92e+02    2.89e+12
  81  426.81     y    SA    0.148   2.54e+09   6.2e+07   8.10     y   1.15e+15    3.97e+02    2.89e+12
  82  426.81     y    SA     0.15   2.57e+09   6.2e+07   8.10     y   1.16e+15    4.02e+02    2.89e+12
  83  426.81     y    SA    0.152    2.6e+09   6.2e+07   8.10     y   1.18e+15    4.07e+02    2.89e+12
  84  426.81     y    SA    0.153   2.64e+09   6.2e+07   8.10     y   1.19e+15    4.12e+02    2.89e+12
  85  426.81     y    SA    0.155   2.67e+09   6.2e+07   8.10     y   1.20e+15    4.16e+02    2.89e+12
  86  426.81     y    SA    0.157    2.7e+09   6.2e+07   8.10     y   1.22e+15    4.21e+02    2.89e+12
  87  426.81     y    SA    0.159   2.73e+09   6.2e+07   8.10     y   1.23e+15    4.26e+02    2.89e+12
  88  426.81     y    SA    0.161   2.76e+09   6.2e+07   8.10     y   1.25e+15    4.31e+02    2.89e+12
  89  426.81     y    SA    0.162   2.79e+09   6.2e+07   8.10     y   1.26e+15    4.36e+02    2.89e+12
  90  426.81     y    SA    0.164   2.82e+09   6.2e+07   8.11     y   1.27e+15    4.41e+02    2.89e+12
  91  426.81     y    SA    0.166   2.85e+09   6.2e+07   8.11     y   1.29e+15    4.45e+02    2.89e+12
  92  426.81     y    SA    0.168   2.88e+09   6.2e+07   8.11     y   1.30e+15    4.50e+02    2.89e+12
  93  426.81     y    SA     0.17   2.91e+09   6.2e+07   8.11     y   1.32e+15    4.55e+02    2.89e+12
  94  426.81     y    SA    0.171   2.95e+09   6.2e+07   8.11     y   1.33e+15    4.60e+02    2.89e+12
  95  426.81     y    SA    0.173   2.98e+09   6.2e+07   8.11     y   1.34e+15    4.65e+02    2.89e+12
  96  426.81     y    SA    0.175   3.01e+09   6.2e+07   8.11     y   1.36e+15    4.70e+02    2.89e+12
  97  426.81     y    SA    0.177   3.04e+09   6.2e+07   8.11     y   1.37e+15    4.74e+02    2.89e+12
  98  426.81     y    SA    0.179   3.07e+09   6.2e+07   8.12     y   1.39e+15    4.79e+02    2.89e+12
  99  426.81     y    SA    0.181    3.1e+09   6.2e+07   8.12     y   1.40e+15    4.84e+02    2.89e+12
 100  426.81     y    SA    0.182   3.13e+09   6.2e+07   8.12     y   1.41e+15    4.89e+02    2.89e+12
 101  426.81     y    SA    0.184   3.16e+09   6.2e+07   8.12     y   1.43e+15    4.94e+02    2.89e+12
 102  426.81     y    SA    0.186   3.19e+09   6.2e+07   8.12     y   1.44e+15    4.99e+02    2.89e+12
 103  426.81     y    SA    0.188   3.22e+09   6.2e+07   8.12     y   1.46e+15    5.04e+02    2.89e+12
 104  426.81     y    SA     0.19   3.26e+09   6.2e+07   8.12     y   1.47e+15    5.08e+02    2.89e+12
 105  426.81     y    SA    0.191   3.29e+09   6.2e+07   8.12     y   1.48e+15    5.13e+02    2.89e+12
 106  426.81     y    SA    0.193   3.32e+09   6.2e+07   8.12     y   1.50e+15    5.18e+02    2.89e+12
 107  426.81     y    SA    0.195   3.35e+09   6.2e+07   8.13     y   1.51e+15    5.23e+02    2.89e+12
 108  426.81     y    SA    0.197   3.38e+09   6.2e+07   8.13     y   1.53e+15    5.28e+02    2.89e+12
 109  426.81     y    SA    0.199   3.41e+09   6.2e+07   8.13     y   1.54e+15    5.33e+02    2.89e+12
 110  426.81     y    SA      0.2   3.44e+09   6.2e+07   8.13     y   1.55e+15    5.37e+02    2.89e+12
 111  426.81     y    SA    0.202   3.47e+09   6.2e+07   8.13     y   1.57e+15    5.42e+02    2.89e+12
 112  426.81     y    SA    0.204    3.5e+09   6.2e+07   8.13     y   1.58e+15    5.47e+02    2.89e+12
 113  426.81     y    SA    0.206   3.53e+09   6.2e+07   8.13     y   1.60e+15    5.52e+02    2.89e+12
 114  426.81     y    SA    0.208   3.57e+09   6.2e+07   8.13     y   1.61e+15    5.57e+02    2.89e+12
 115  426.81     y    SA    0.209    3.6e+09   6.2e+07   8.13     y   1.62e+15    5.62e+02    2.89e+12
 116  426.81     y    SA    0.211   3.63e+09   6.2e+07   8.14     y   1.64e+15    5.66e+02    2.89e+12
 117  426.81     y    SA    0.213   3.66e+09   6.2e+07   8.14     y   1.65e+15    5.71e+02    2.89e+12
 118  426.81     y    SA    0.215   3.69e+09   6.2e+07   8.14     y   1.67e+15    5.76e+02    2.89e+12
 119  426.81     y    SA    0.217   3.72e+09   6.2e+07   8.14     y   1.68e+15    5.81e+02    2.89e+12
 120  426.81     y    SA    0.218   3.75e+09   6.2e+07   8.14     y   1.69e+15    5.86e+02    2.89e+12
 121  426.81     y    SA     0.22   3.78e+09   6.2e+07   8.14     y   1.71e+15    5.91e+02    2.89e+12
 122  426.81     y    SA    0.222   3.81e+09   6.2e+07   8.14     y   1.72e+15    5.96e+02    2.89e+12
 123  426.81     y    SA    0.224   3.84e+09   6.2e+07   8.14     y   1.74e+15    6.00e+02    2.89e+12
 124  426.81     y    SA    0.226   3.88e+09   6.2e+07   8.15     y   1.75e+15    6.05e+02    2.89e+12
 125  426.81     y    SA    0.227   3.91e+09   6.2e+07   8.15     y   1.76e+15    6.10e+02    2.89e+12
 126  426.81     y    SA    0.229   3.94e+09   6.2e+07   8.15     y   1.78e+15    6.15e+02    2.89e+12
 127  426.81     y    SA    0.231   3.97e+09   6.2e+07   8.15     y   1.79e+15    6.20e+02    2.89e+12
 128  426.81     y    SA    0.233      4e+09   6.2e+07   8.15     y   1.81e+15    6.25e+02    2.89e+12
 129  422.26     y    SA    0.235   4.03e+09   6.2e+07   9.15     y   1.82e+15    6.29e+02    2.89e+12
 130  422.26     y    SA    0.236   4.06e+09   6.2e+07   9.15     y   1.83e+15    6.34e+02    2.89e+12
 131  422.26     y    SA    0.238   4.09e+09   6.2e+07   9.15     y   1.85e+15    6.39e+02    2.89e+12
 132  422.26     y    SA     0.24   4.12e+09   6.2e+07   9.15     y   1.86e+15    6.44e+02    2.89e+12
 133  422.26     y    SA    0.242   4.16e+09   6.2e+07   9.16     y   1.88e+15    6.49e+02    2.89e+12
