config,cell,n_row,n_col,b_acc,source,t_decode,t_bitline,t_senseamp,t_total,e_bitline_perbit,e_periph_perbit,e_total_perbit,a_array,a_total
sram_cacti,itrs-hp,256,256,64,cacti,105.9070,85.1444,1.8974,192.9488,13.5893,13.6924,27.2816,1920.4013,2564.2926
sram_cacti,itrs-hp,256,256,64,model,177.4490,79.0743,1.9000,265.4233,13.5450,14.1282,27.6732,2451.0464,2724.7604
sram_cacti,itrs-hp,512,256,64,cacti,181.4520,160.1400,1.8974,343.4894,26.7781,13.9100,40.6883,4148.0922,5128.5727
sram_cacti,itrs-hp,512,256,64,model,197.4490,137.4169,1.9000,343.7659,26.7546,14.1282,40.8828,4902.0928,5397.7588
sram_cacti,itrs-hp,1024,256,64,cacti,426.0370,323.7630,1.8974,751.6974,53.1559,14.3351,67.4910,8645.5075,10257.1767
sram_cacti,itrs-hp,1024,256,64,model,217.4490,261.5885,1.9000,487.9375,53.1738,14.1282,67.3020,9804.1856,10743.7556
sram_cacti,itrs-hp,2048,256,64,cacti,1341.2200,706.0770,1.8974,2049.1944,105.9109,15.1758,121.0867,17663.8224,20514.3533
sram_cacti,itrs-hp,2048,256,64,model,237.4490,552.7979,1.9000,799.1468,106.0122,14.1282,120.1404,19608.3712,21435.7492
sram_cacti,itrs-hp,4096,256,64,cacti,4716.9900,1691.6200,1.8974,6410.5074,211.4215,16.8301,228.2520,35364.6782,41028.8314
sram_cacti,itrs-hp,4096,256,64,model,257.4490,1316.3728,1.9000,1582.7217,211.6890,14.1282,225.8172,39216.7424,42819.7364
sram_cacti,itrs-hp,256,1024,64,cacti,248.2370,193.9480,1.8974,444.0824,54.3570,52.1585,106.8887,8122.0378,10257.1704
sram_cacti,itrs-hp,256,1024,64,model,316.3034,186.7513,1.9000,511.9547,54.1800,52.5282,106.7082,9804.1856,10187.7236
sram_cacti,itrs-hp,512,1024,64,cacti,323.8800,277.7320,1.8974,603.5094,107.1125,52.3761,159.8613,17587.5376,20514.2910
sram_cacti,itrs-hp,512,1024,64,model,336.3034,279.7267,1.9000,624.9301,107.0184,52.5282,159.5466,19608.3712,20213.8612
sram_cacti,itrs-hp,1024,1024,64,cacti,568.6070,441.4730,1.8974,1011.9774,212.6230,52.8012,265.7973,36700.0550,41028.7067
sram_cacti,itrs-hp,1024,1024,64,model,356.3034,442.2937,1.9000,807.4970,212.6952,52.5282,265.2234,39216.7424,40266.1364
sram_cacti,itrs-hp,2048,1024,64,cacti,1484.0000,823.9570,1.8974,2309.8544,423.6445,53.6419,477.6602,75031.0832,82057.4134
sram_cacti,itrs-hp,2048,1024,64,model,376.3034,770.6150,1.9000,1155.8183,424.0488,52.5282,476.5770,78433.4848,80370.6868
sram_cacti,itrs-hp,4096,1024,64,cacti,4860.0400,1809.7300,1.8974,6671.6674,845.6875,55.2962,901.3555,151356.3438,164115.3257
sram_cacti,itrs-hp,4096,1024,64,model,396.3034,1563.6009,1.9000,1968.8043,846.7560,52.5282,899.2842,156866.9696,160579.7876
dram_cacti,comm-dram,256,256,64,cacti,825.0070,2051.0800,6.1176,2882.2046,57.9043,16.3410,74.2453,17.6464,68.0919
dram_cacti,comm-dram,256,256,64,model,177.4490,749.9288,1450.0000,2384.3777,304.8000,16.9282,321.7282,786.4320,1056.9460
dram_cacti,comm-dram,512,256,64,cacti,831.4490,2569.5700,8.0692,3409.0882,108.1242,16.3956,124.5199,50.1331,136.1838
dram_cacti,comm-dram,512,256,64,model,197.4490,2190.6354,1450.0000,3845.0843,509.6000,16.9282,526.5281,1572.8640,2065.3300
dram_cacti,comm-dram,256,1024,64,cacti,3565.1300,3587.4700,6.1176,7158.7176,231.6168,63.1546,294.9055,93.0026,272.3676
dram_cacti,comm-dram,256,1024,64,model,316.3034,979.7880,1450.0000,2753.0914,1219.2000,63.7281,1282.9281,3145.7280,3526.0660
dram_cacti,comm-dram,512,1024,64,cacti,3571.6300,4118.3700,8.0692,7698.0692,432.4961,63.2092,495.8398,266.6277,544.7352
dram_cacti,comm-dram,512,1024,64,model,336.3034,2448.7491,1450.0000,4242.0525,2038.4000,63.7281,2102.1282,6291.4560,6893.7460
